-1.3183,-1.1801
-1.0011,-0.263
-0.58097,-0.0085286
0.0020158,0.22922
0.054284,1.1664
0.15848,1.9183
0.24912,2.5701
0.45048,3.2393
0.67986,3.8935
0.9482,4.4636
1.293,5.1118
1.7482,5.6104
2.205,5.9334
2.6628,6.122
3.1216,6.197
3.5811,6.1841
4.0412,6.0963
4.5019,5.9388
4.9991,5.8249
5.3936,5.7215
5.881,5.8305
6.3399,5.8951
6.7995,5.8641
7.2599,5.7428
7.7213,5.5052
8.1837,5.141
8.6477,4.5908
8.951,3.9437
9.2758,3.3147
9.4992,2.6355
9.6721,1.9324
9.7818,1.3015
9.8891,0.52965
9.1449,0.033839
9.0644,-0.32961
9.0507,-0.96504
8.854,-1.8093
8.3691,-2.094
7.9115,-2.3084
7.4527,-2.3782
6.9936,-2.4127
6.8382,-2.1481
6.7969,-1.3645
6.7917,-0.73932
6.7865,-0.11415
6.7813,0.51102
6.7761,1.1362
6.771,1.7613
6.7818,2.4655
6.7409,3.2846
7.1942,3.5988
7.6532,3.6454
8.1183,3.3803
8.3908,2.6488
8.3568,1.9014
8.078,1.6653
8.5091,1.1683
8.8739,0.48613
9.9545,-0.46415
10.424,-0.55459
9.8883,-1.3264
9.7686,-2.1462
9.53,-2.1843
9.0907,-2.4813
8.584,-2.8217
8.128,-3.2325
7.6716,-3.5917
7.2147,-3.9017
6.7574,-4.1524
6.2997,-4.3591
5.8416,-4.5116
5.3424,-4.4292
4.9334,-4.5864
4.4473,-4.7236
4.0854,-4.7123
3.6425,-4.6773
3.2711,-4.5176
2.8203,-4.3304
2.3602,-4.298
2.1447,-4.6605
1.7291,-4.4016
1.8064,-4.1212
1.2484,-3.891
0.82663,-3.5494
0.38277,-3.2708
-0.10092,-3.0541
-0.56373,-2.6434
-1.0065,-2.1277
0.43287,-1.9534
0.82617,-1.4293
1.2649,-1.5685
1.7235,-1.4625
2.1404,-1.3847
3.2664,-1.1849
3.5599,-1.7481
4.0259,-2.121
4.4873,-2.356
4.9468,-2.3767
5.4043,-2.1467
5.8133,-1.7309
5.9983,-0.97607
6.0175,-0.54284
5.9724,-0.14076
5.7028,0.5739
5.3344,1.2415
4.8681,1.6855
4.5712,2.2396
4.455,3.2044
4.6882,4.0472
5.1408,4.4452
5.5996,4.5125
6.0604,4.342
6.514,3.8788
3.4962,3.557
3.1662,3.0899
2.7953,2.4578
3.0926,2.1407
2.4466,1.9813
2.1175,1.3816
1.7885,0.76053
1.4596,0.13061
1.1309,-0.51943
3.009,-0.36054
2.8813,0.48113
2.8933,1.36
0.68141,-2.8255
2.6154,-5.1434
3.0517,-5.5025
3.5126,-5.691
3.9735,-5.8614
4.4354,-6.1714
4.8985,-6.6157
5.3573,-6.5433
5.8134,-6.1428
6.2712,-5.9542
6.7293,-5.7888
7.1866,-5.5382
7.6432,-5.2023
8.099,-4.7734
8.5647,-4.2695
8.9804,-3.7194
9.3156,-3.1034
5.1022,6.5712
5.5355,7.2005
5.995,7.1851
6.4544,7.1929
6.9134,7.242
7.3721,7.3273
7.8304,7.4514
8.2884,7.6271
8.746,7.8416
9.2032,8.1025
9.66,8.4229
10.122,8.8115
10.192,9.1418
10.575,9.1902
10.904,9.5295
9.695,9.2275
9.2356,9.2352
8.776,9.2506
8.3164,9.2816
7.8568,9.31
7.3972,9.3254
6.938,9.3047
6.479,9.2607
6.0205,9.1547
5.5635,8.855
5.2134,8.2767
5.0677,7.3772
